date,cluster_id,demand,temperature,supply
2021-01-01,0_0,238.0,10.1,239.0
2021-01-01,0_1,14.0,10.1,20.0
2021-01-01,0_10,167.0,10.1,162.0
2021-01-01,0_11,123.0,10.1,121.0
2021-01-01,0_12,26.0,10.1,24.0
2021-01-01,0_13,128.0,10.1,124.0
2021-01-01,0_14,19.0,10.1,18.0
2021-01-01,0_15,167.0,10.1,173.0
2021-01-01,0_16,217.0,10.1,196.0
2021-01-01,0_17,113.0,10.1,144.0
2021-01-01,0_18,30.0,10.1,35.0
2021-01-01,0_2,276.0,10.1,289.0
2021-01-01,0_3,14.0,10.1,13.0
2021-01-01,0_4,77.0,10.1,67.0
2021-01-01,0_5,82.0,10.1,90.0
2021-01-01,0_6,272.0,10.1,250.0
2021-01-01,0_7,133.0,10.1,118.0
2021-01-01,0_8,120.0,10.1,134.0
2021-01-01,0_9,37.0,10.1,36.0
2021-01-01,1_0,24.0,10.1,23.0
2021-01-01,1_1,89.0,10.1,94.0
2021-01-01,1_2,15.0,10.1,16.0
2021-01-01,1_4,22.0,10.1,18.0
2021-01-01,1_5,41.0,10.1,39.0
2021-01-01,1_6,12.0,10.1,13.0
2021-01-01,2_0,27.0,10.1,29.0
2021-01-01,2_1,91.0,10.1,89.0
2021-01-01,2_2,48.0,10.1,49.0
2021-01-01,2_3,158.0,10.1,157.0
2021-01-02,0_0,182.0,10.8,193.0
2021-01-02,0_1,11.0,10.8,7.0
2021-01-02,0_10,116.0,10.8,99.0
2021-01-02,0_11,98.0,10.8,116.0
2021-01-02,0_12,13.0,10.8,14.0
2021-01-02,0_13,70.0,10.8,81.0
2021-01-02,0_14,11.0,10.8,10.0
2021-01-02,0_15,64.0,10.8,74.0
2021-01-02,0_16,134.0,10.8,115.0
2021-01-02,0_17,73.0,10.8,84.0
2021-01-02,0_18,9.0,10.8,6.0
2021-01-02,0_2,248.0,10.8,215.0
2021-01-02,0_3,6.0,10.8,7.0
2021-01-02,0_4,24.0,10.8,34.0
2021-01-02,0_5,52.0,10.8,49.0
2021-01-02,0_6,214.0,10.8,225.0
2021-01-02,0_7,77.0,10.8,82.0
2021-01-02,0_8,24.0,10.8,23.0
2021-01-02,0_9,46.0,10.8,38.0
2021-01-02,1_0,13.0,10.8,13.0
2021-01-02,1_1,22.0,10.8,24.0
2021-01-02,1_2,9.0,10.8,10.0
2021-01-02,1_4,12.0,10.8,12.0
2021-01-02,1_5,9.0,10.8,7.0
2021-01-02,1_6,12.0,10.8,11.0
2021-01-02,2_0,20.0,10.8,17.0
2021-01-02,2_1,115.0,10.8,113.0
2021-01-02,2_2,55.0,10.8,54.0
2021-01-02,2_3,173.0,10.8,179.0
2021-01-03,0_0,246.0,10.9,279.0
2021-01-03,0_1,12.0,10.9,14.0
2021-01-03,0_10,189.0,10.9,182.0
2021-01-03,0_11,157.0,10.9,170.0
2021-01-03,0_12,9.0,10.9,12.0
2021-01-03,0_13,116.0,10.9,110.0
2021-01-03,0_14,12.0,10.9,16.0
2021-01-03,0_15,115.0,10.9,102.0
2021-01-03,0_16,188.0,10.9,187.0
2021-01-03,0_17,136.0,10.9,124.0
2021-01-03,0_18,43.0,10.9,44.0
2021-01-03,0_2,281.0,10.9,274.0
2021-01-03,0_3,21.0,10.9,18.0
2021-01-03,0_4,88.0,10.9,92.0
2021-01-03,0_5,92.0,10.9,87.0
2021-01-03,0_6,340.0,10.9,327.0
2021-01-03,0_7,115.0,10.9,113.0
2021-01-03,0_8,88.0,10.9,97.0
2021-01-03,0_9,20.0,10.9,20.0
2021-01-03,1_0,30.0,10.9,30.0
2021-01-03,1_1,66.0,10.9,68.0
2021-01-03,1_2,10.0,10.9,15.0
2021-01-03,1_3,1.0,10.9,1.0
2021-01-03,1_4,26.0,10.9,22.0
2021-01-03,1_5,18.0,10.9,20.0
2021-01-03,1_6,23.0,10.9,18.0
2021-01-03,2_0,27.0,10.9,28.0
2021-01-03,2_1,86.0,10.9,86.0
2021-01-03,2_2,45.0,10.9,43.0
2021-01-03,2_3,118.0,10.9,119.0
2021-01-04,0_0,247.0,12.6,244.0
2021-01-04,0_1,2.0,12.6,3.0
2021-01-04,0_10,164.0,12.6,164.0
2021-01-04,0_11,143.0,12.6,144.0
2021-01-04,0_12,17.0,12.6,14.0
2021-01-04,0_13,83.0,12.6,84.0
2021-01-04,0_14,17.0,12.6,18.0
2021-01-04,0_15,69.0,12.6,65.0
2021-01-04,0_16,113.0,12.6,117.0
2021-01-04,0_17,66.0,12.6,72.0
2021-01-04,0_18,13.0,12.6,12.0
2021-01-04,0_2,248.0,12.6,264.0
2021-01-04,0_3,11.0,12.6,14.0
2021-01-04,0_4,35.0,12.6,22.0
2021-01-04,0_5,28.0,12.6,25.0
2021-01-04,0_6,278.0,12.6,266.0
2021-01-04,0_7,76.0,12.6,79.0
2021-01-04,0_8,30.0,12.6,33.0
2021-01-04,0_9,17.0,12.6,17.0
2021-01-04,1_0,19.0,12.6,15.0
2021-01-04,1_1,65.0,12.6,69.0
2021-01-04,1_2,6.0,12.6,6.0
2021-01-04,1_3,2.0,12.6,2.0
2021-01-04,1_4,18.0,12.6,12.0
2021-01-04,1_5,17.0,12.6,16.0
2021-01-04,1_6,12.0,12.6,19.0
2021-01-04,2_0,31.0,12.6,36.0
2021-01-04,2_1,123.0,12.6,120.0
2021-01-04,2_2,73.0,12.6,65.0
2021-01-04,2_3,149.0,12.6,155.0
2021-01-05,0_0,312.0,11.0,334.0
2021-01-05,0_1,9.0,11.0,4.0
2021-01-05,0_10,235.0,11.0,246.0
2021-01-05,0_11,199.0,11.0,203.0
2021-01-05,0_12,22.0,11.0,28.0
2021-01-05,0_13,101.0,11.0,111.0
2021-01-05,0_14,29.0,11.0,26.0
2021-01-05,0_15,108.0,11.0,95.0
2021-01-05,0_16,220.0,11.0,205.0
