station_id,lat,lng,region,sub_region_cluster,cluster_id
4040 3rd St Depot Station,37.74083704246336,-122.3891894846574,0,14,0_14
BK-A3,37.851375499999996,-122.2525231,1,0,1_0
BK-A7,37.88022222295339,-122.26959214257812,1,4,1_4
BK-B7,37.87657277455342,-122.26952795606994,1,4,1_4
BK-B9,37.87511169286445,-122.26055324077606,1,4,1_4
BK-C1,37.87040705773269,-122.29967597073365,1,2,1_2
BK-C5,37.8737068499061,-122.28304066192487,1,2,1_2
BK-C6,37.8717191,-122.27306784999999,1,4,1_4
BK-C7,37.873676107299126,-122.26848710752105,1,4,1_4
BK-C8,37.87235575,-122.26644685,1,4,1_4
BK-C9,37.875216348216114,-122.26035416019401,1,4,1_4
BK-D1,37.866249,-122.29937059999999,1,2,1_2
BK-D10,37.86936015,-122.25433720000001,1,4,1_4
BK-D2,37.86906023772696,-122.29339978618621,1,2,1_2
BK-D4,37.86996685380201,-122.28653305864717,1,2,1_2
BK-D5,37.870555164528724,-122.27972015319824,1,2,1_2
BK-D7-1,37.870139,-122.268422,1,4,1_4
BK-D7-2,37.86905995,-122.270556,1,4,1_4
BK-E10,37.8664179702516,-122.25379921923829,1,4,1_4
BK-E2,37.86282705,-122.29023075,1,2,1_2
BK-E3,37.86282373556934,-122.29025226345657,1,2,1_2
BK-E7,37.8658468,-122.26744305,1,4,1_4
BK-E8,37.867789099999996,-122.2658962,1,4,1_4
BK-E9-1,37.86888073010449,-122.25879496001119,1,4,1_4
BK-E9-2,37.86604305,-122.2588042,1,4,1_4
BK-F10,37.86186863696231,-122.25354772836111,1,0,1_0
BK-F2,37.8588681,-122.29120975000001,1,2,1_2
BK-F7,37.86012479955842,-122.2693842069788,1,4,1_4
BK-F8,37.862470022222226,-122.26471031111112,1,4,1_4
BK-F9,37.86231995,-122.258801,1,0,1_0
BK-G4,37.85578316015099,-122.28312685592269,1,2,1_2
BK-G7,37.85758896992163,-122.267544277233,1,0,1_0
BK-G8,37.85748989616758,-122.26163286874961,1,0,1_0
BK-G9,37.8623199,-122.258801,1,0,1_0
BK-H10,37.8584731,-122.25325295,1,0,1_0
BK-H3,37.853906980821904,-122.28969806196595,1,2,1_2
BK-H6,37.852476800000005,-122.2702131,1,0,1_0
BK-H8,37.855573830914395,-122.26356518074991,1,0,1_0
BK-H9,37.8559559,-122.25979495,1,0,1_0
BK-I5,37.85057785,-122.27817519999999,1,5,1_5
BK-I6,37.849735,-122.270582,1,0,1_0
EM-1,37.830296182687,-122.2894299030304,1,5,1_5
EM-A1,37.8409451,-122.2913602,1,5,1_5
EM-A2,37.8419239,-122.28804505,1,5,1_5
EM-B0-2,37.83954304133282,-122.29871786114835,1,5,1_5
EM-B1,37.84052108347485,-122.29352815920258,1,5,1_5
EM-B2,37.838443749999996,-122.28866485,1,5,1_5
EM-C1,37.8467841,-122.29137605,1,5,1_5
EM-C2,37.83618215,-122.28718005,1,5,1_5
EM-C3,37.835644834861725,-122.28107582735596,1,5,1_5
EM-D2,37.8297048,-122.2876101,1,5,1_5
EM-D3,37.8312751,-122.28563315,1,5,1_5
EM-D4,37.83127695,-122.27826695,1,5,1_5
GGP-L1.5,37.76995450759076,-122.48168398415841,0,18,0_18
GGP-L1.7,37.770856128,-122.49007189933333,0,18,0_18
L1.1,37.768778263676424,-122.45942820231382,0,15,0_15
L1.11,37.76781701011207,-122.50188780608909,0,8,0_8
L1.20,37.76490783161667,-122.5005276623875,0,8,0_8
L1.4,37.77091321407918,-122.47711493126027,0,18,0_18
LW1.6,37.76989057051282,-122.48461193888889,0,18,0_18
LYFT-SF01,37.77456657842222,-122.41406550170277,0,6,0_6
LYFT-SF02,37.76849045334188,-122.41114017609401,0,11,0_11
OK-A2,37.85022193724839,-122.26017218354798,1,0,1_0
OK-A4,37.848793875,-122.25235037499999,1,0,1_0
OK-B1,37.84959498388832,-122.26556898581697,1,0,1_0
OK-B2,37.8465158,-122.26530414999999,1,0,1_0
OK-B3,37.84449285,-122.261351,1,0,1_0
OK-B4,37.84427887699533,-122.251900217247,1,0,1_0
OK-B5,37.841799949999995,-122.25153495,1,0,1_0
OK-C2,37.8426295,-122.267738,1,6,1_6
OK-C3,37.8401859,-122.26182275,1,6,1_6
OK-C4,37.8388,-122.258732,1,6,1_6
OK-C5,37.83812695,-122.25127119999999,1,6,1_6
OK-D2,37.8396486,-122.27175603333335,1,6,1_6
OK-D3-1,37.84036415,-122.26448805,1,6,1_6
OK-D3-2,37.81740943333333,-122.25235323333334,1,6,1_6
OK-D4,37.83575,-122.262654,1,6,1_6
OK-D5,37.83578815,-122.25162085,1,6,1_6
OK-E2,37.834174,-122.272968,1,6,1_6
OK-E3,37.83355785,-122.26741815,1,6,1_6
OK-E4,37.833365490538675,-122.26355792191866,1,6,1_6
OK-E5,37.83329376111605,-122.25622407771303,1,6,1_6
OK-F2-2,37.834174,-122.272968,1,6,1_6
OK-F3,37.8302231,-122.27095005,1,6,1_6
OK-F4,37.82850251826463,-122.26633198143502,1,6,1_6
OK-F5,37.82775715,-122.2567158,1,6,1_6
OK-F6,37.82519918798721,-122.25905242968722,1,6,1_6
OK-G2,37.8305451,-122.27393685,1,6,1_6
OK-G3,37.826695793204834,-122.27179703048324,1,6,1_6
OK-G4,37.82628615,-122.26510010000001,1,6,1_6
OK-G5,37.82489276497556,-122.26043677305147,1,6,1_6
OK-H2,37.8238472,-122.2811928,1,5,1_5
OK-H2-2,37.82352279021405,-122.27718830108644,1,6,1_6
OK-H3,37.823321199999995,-122.27573275,1,6,1_6
OK-H3-2,37.8226839297251,-122.27292410182196,1,6,1_6
OK-H4-3,37.82250779428628,-122.26614455074653,1,6,1_6
OK-H5,37.819381199999995,-122.2619282,1,6,1_6
OK-H9-1,37.7981943290937,-122.29358765010682,1,1,1_1
OK-H9-2,37.81108056666667,-122.24326756666666,1,1,1_1
OK-I3,37.817846668483135,-122.27578470716514,1,1,1_1
OK-I4,37.817126885643525,-122.27166733538012,1,1,1_1
OK-I5,37.816073057505704,-122.26788620011139,1,1,1_1
OK-I6,37.812090352519455,-122.26069555490821,1,1,1_1
OK-I8,37.80889364466238,-122.25646006327311,1,1,1_1
OK-I9,37.808781475,-122.249465525,1,1,1_1
OK-J3,37.8160599,-122.2782442,1,1,1_1
OK-J4,37.81498811521208,-122.27484402520369,1,1,1_1
OK-J5,37.812645795272466,-122.26870621524354,1,1,1_1
OK-J6-1,37.8113769,-122.26519275,1,1,1_1
OK-J6-2,37.807813091089514,-122.26449604401398,1,1,1_1
OK-K10,37.80045920585697,-122.24745884818267,1,1,1_1
OK-K17,37.77993,-122.2177282,1,3,1_3
OK-K2,37.81233175,-122.2851711,1,1,1_1
OK-K3,37.809823800000004,-122.28019215,1,1,1_1
OK-K4,37.811351200000004,-122.27342185,1,1,1_1
OK-K5-1,37.808702049999994,-122.26992705,1,1,1_1
OK-K5-2,37.809368806067425,-122.26795088661956,1,1,1_1
OK-K6,37.806969880477965,-122.26658810552978,1,1,1_1
OK-K7,37.804036594674535,-122.26240910980478,1,1,1_1
OK-K9,37.80021378348489,-122.2538100836563,1,1,1_1
OK-L1,37.810743099999996,-122.29141515,1,1,1_1
OK-L10,37.794396,-122.253842,1,1,1_1
OK-L11,37.792714149999995,-122.2487798,1,3,1_3
OK-L12,37.79013992592682,-122.24237311403655,1,3,1_3
OK-L13,37.80045920585697,-122.24745884818267,1,1,1_1
OK-L14,37.78519175,-122.2343821,1,3,1_3
OK-L15,37.781123,-122.2329915,1,3,1_3
OK-L16,37.78375695,-122.22260315,1,3,1_3
OK-L17,37.77993,-122.2177284,1,3,1_3
OK-L19,37.77415278215118,-122.21239810061357,1,3,1_3
OK-L2,37.810743099999996,-122.29141515,1,1,1_1
OK-L3,37.80874991732999,-122.28328213998412,1,1,1_1
OK-L4,37.806162900000004,-122.27604009999999,1,1,1_1
OK-L5,37.804562177465144,-122.27173802618408,1,1,1_1
OK-L6,37.803136072295935,-122.27055150922267,1,1,1_1
OK-L6-2,37.80268820102033,-122.26914618395377,1,1,1_1
OK-L7,37.800001815594385,-122.26643800367737,1,1,1_1
OK-L7-2,37.801318949999995,-122.2626419,1,1,1_1
OK-L8,37.7976729,-122.26299714999999,1,1,1_1
OK-L9,37.795913,-122.255547,1,1,1_1
OK-M1,37.8053183,-122.2948365,1,1,1_1
OK-M14,37.781123,-122.23299175,1,3,1_3
OK-M16,37.778058,-122.2254,1,3,1_3
OK-M2,37.80733415555556,-122.28936028888889,1,1,1_1
OK-M3,37.8059322,-122.28525317500001,1,1,1_1
OK-M4,37.80368675,-122.282497,1,1,1_1
OK-M5,37.8007542,-122.27489415,1,1,1_1
OK-M6,37.80051605,-122.27207995,1,1,1_1
OK-M7,37.797349249999996,-122.26532314166667,1,1,1_1
OK-N1,37.805240960000006,-122.29470467290813,1,1,1_1
OK-N17,37.77523205,-122.2244981,1,3,1_3
OK-N5,37.796248,-122.279352,1,1,1_1
OK-N6,37.79519488219297,-122.27396982513429,1,1,1_1
OK-N7,37.79519488219297,-122.27396982513429,1,1,1_1
OutsideTempStation,37.770771812542726,-122.47898547218114,0,18,0_18
SF Depot,37.76140228530131,-122.40307088869751,0,11,0_11
SF Depot Monolith,37.75,-122.39,0,14,0_14
SF Depot-2 (Minnesota St Outbound),37.76236260635972,-122.41040110468516,0,11,0_11
SF I29-1,37.78330901747124,-122.39335035021327,0,0,0_0
SF STATION IN A BOX 1,37.77583495952381,-122.39260282619047,0,10,0_10
SF-A15,37.80396486762289,-122.4551060935326,0,4,0_4
SF-A19,37.805307365466945,-122.43726264517845,0,17,0_17
SF-A20,37.80442560174283,-122.43355243086692,0,17,0_17
SF-A22,37.805396908067614,-122.4230148566265,0,17,0_17
SF-A24-2,37.804443238669045,-122.41576464323343,0,13,0_13
SF-A25,37.806869252654536,-122.41147751150282,0,13,0_13
SF-A25-2,37.80542612442302,-122.41359054026887,0,13,0_13
SF-A26,37.80715645615713,-122.40909337875101,0,13,0_13
SF-A27,37.80477312489195,-122.40331576696323,0,13,0_13
SF-AA15,37.72221620796691,-122.44737807091055,0,9,0_9
SF-AA15-2,37.72056318356235,-122.44764391752291,0,9,0_9
SF-AA18,37.72000254395833,-122.4337692474035,0,9,0_9
SF-AA20,37.72018697941808,-122.42517886661015,0,9,0_9
SF-AA28,37.72260855399318,-122.39251926910686,0,3,0_3
SF-B14,37.801700382597566,-122.45647491549587,0,4,0_4
SF-B15,37.7996929013821,-122.45257039272087,0,4,0_4
SF-B19,37.80263675985612,-122.43605082049224,0,17,0_17
SF-B20,37.800484884132366,-122.43278296561914,0,17,0_17
SF-B21,37.800245257817664,-122.42583646901718,0,17,0_17
SF-B22,37.80231117045853,-122.42442068031339,0,17,0_17
SF-B24-1,37.80324890666495,-122.41467547545535,0,13,0_13
SF-B25,37.80279554439014,-122.41329511801345,0,13,0_13
SF-B28,37.804594747641275,-122.40201353355279,0,13,0_13
SF-B28-2,37.801990725897795,-122.40174495544325,0,13,0_13
SF-BB17,37.71622662874029,-122.44010161873206,0,9,0_9
SF-C14,37.796599535777695,-122.455684837456,0,4,0_4
SF-C16-2,37.7981532749652,-122.44736183409094,0,4,0_4
SF-C18,37.79928536335021,-122.44278555438014,0,17,0_17
SF-C20,37.79916252507571,-122.43404895914995,0,17,0_17
SF-C20-2,37.797474669877914,-122.43393651951408,0,17,0_17
SF-C21,37.797218312546406,-122.42754121402207,0,17,0_17
SF-C22,37.79769184340606,-122.42338862838805,0,17,0_17
SF-C25,37.80041072193298,-122.4108842667603,0,13,0_13
SF-C26,37.797897061158345,-122.40590174965158,0,13,0_13
SF-C26-1,37.79793762225651,-122.40592883358865,0,13,0_13
SF-C28-1,37.79991578679928,-122.39852477211183,0,13,0_13
SF-C28-2,37.798631693563244,-122.40089933528634,0,13,0_13
SF-CC18,37.71316759674359,-122.43340197339316,0,9,0_9
SF-D24,37.79638789030503,-122.41685170445449,0,13,0_13
